gc,heap,benchmark,start_time,end_time,avg_ram_percent,avg_cpu_percent,measurements_count
G1,2g,avrora,2025-06-17 22:57:57,2025-06-17 22:58:19,51.47,11.85,3
G1,2g,lusearch,2025-06-17 22:58:19,2025-06-17 22:58:47,55.67,78.54,2
G1,2g,tomcat,2025-06-17 22:58:47,2025-06-17 23:08:11,55.84,11.54,57
G1,12g,avrora,2025-06-17 23:08:11,2025-06-17 23:08:30,96.46,19.59,2
G1,12g,lusearch,2025-06-17 23:08:30,2025-06-17 23:09:01,96.28,84.51,3
G1,12g,tomcat,2025-06-17 23:09:01,2025-06-17 23:18:28,96.46,10.71,57
Parallel,2g,avrora,2025-06-17 23:18:28,2025-06-17 23:18:54,51.52,18.33,2
Parallel,2g,lusearch,2025-06-17 23:18:54,2025-06-17 23:19:19,51.75,69.75,3
Parallel,2g,tomcat,2025-06-17 23:19:19,2025-06-17 23:28:42,52.04,10.07,56
Parallel,12g,avrora,2025-06-17 23:28:42,2025-06-17 23:29:02,97.50,17.10,2
Parallel,12g,lusearch,2025-06-17 23:29:02,2025-06-17 23:29:27,97.58,68.79,2
Parallel,12g,tomcat,2025-06-17 23:29:27,2025-06-17 23:38:50,97.73,11.08,57
Shenandoah,2g,avrora,2025-06-17 23:38:50,2025-06-17 23:39:12,51.39,20.43,2
Shenandoah,2g,lusearch,2025-06-17 23:39:12,2025-06-17 23:39:43,51.68,75.13,3
Shenandoah,2g,tomcat,2025-06-17 23:39:43,2025-06-17 23:49:09,51.94,11.25,57
Shenandoah,12g,avrora,2025-06-17 23:49:09,2025-06-17 23:49:33,97.06,19.37,2
Shenandoah,12g,lusearch,2025-06-17 23:49:33,2025-06-17 23:50:09,97.29,79.69,4
Shenandoah,12g,tomcat,2025-06-17 23:50:09,2025-06-17 23:59:37,97.48,10.43,56
ZGC,2g,avrora,2025-06-17 23:59:37,2025-06-18 00:00:02,66.20,14.98,3
ZGC,2g,lusearch,2025-06-18 00:00:02,2025-06-18 00:00:34,51.42,69.69,3
ZGC,2g,tomcat,2025-06-18 00:00:34,2025-06-18 00:10:00,51.29,10.80,57
ZGC,12g,avrora,2025-06-18 00:10:00,2025-06-18 00:10:23,95.76,17.66,2
ZGC,12g,lusearch,2025-06-18 00:10:23,2025-06-18 00:11:00,97.33,80.83,4
ZGC,12g,tomcat,2025-06-18 00:11:00,2025-06-18 00:20:27,96.64,10.19,56
