gc_type,heap_size,benchmark,max_pause_ms,avg_pause_ms,total_gc_pause_time_ms,num_stw_pauses,total_benchmark_time_ms,application_time_ms,throughput_percentage,stw_event_frequency_per_sec
G1,12g,avrora,30.61,26.834666666666664,80.50399999999999,3,7005,6924.496,98.85076374018558,0.4282655246252677
G1,12g,lusearch,37.96,11.316214285714285,158.427,14,7720,7561.573,97.94783678756477,1.8134715025906736
G1,12g,tomcat,65.808,24.190625,193.525,8,185604,185410.475,99.89573231180363,0.04310251934225555
G1,4g,avrora,11.818,11.599333333333334,34.798,3,6195,6160.202,99.43828894269573,0.48426150121065376
G1,4g,lusearch,19.667,5.43725,173.992,32,7990,7816.008,97.82237797246557,4.005006257822278
G1,4g,tomcat,46.36,13.675642857142858,191.459,14,184498,184306.541,99.89622705937191,0.0758815813721558
Parallel,12g,avrora,8.676,4.593666666666667,27.562,6,6186,6158.438,99.55444552214678,0.9699321047526673
Parallel,12g,lusearch,20.484,3.36395652173913,77.371,23,7314,7236.629,98.94215203718895,3.1446540880503147
Parallel,12g,tomcat,44.114,14.785416666666665,177.42499999999998,12,185030,184852.575,99.90411014430093,0.06485434794357672
Parallel,4g,avrora,8.337,4.387333333333333,26.324,6,6135,6108.676,99.57092094539529,0.9779951100244499
Parallel,4g,lusearch,16.833,1.847298245614035,105.296,57,7397,7291.704,98.57650398810328,7.705826686494524
Parallel,4g,tomcat,41.377,9.73855,194.771,20,185272,185077.229,99.89487294356405,0.10794939332440952
Shenandoah,12g,avrora,0.293,0.0628333333333333,0.754,12,6336,6335.246,99.98809974747475,1.8939393939393938
Shenandoah,12g,lusearch,0.361,0.0988382352941176,6.721,68,8688,8681.279,99.92264042357274,7.826887661141805
Shenandoah,12g,tomcat,0.333,0.0963571428571428,2.698,28,185754,185751.302,99.99854754137192,0.15073699624234202
Shenandoah,4g,avrora,0.217,0.0453333333333333,0.544,12,6347,6346.456,99.99142902158499,1.8906570033086496
Shenandoah,4g,lusearch,0.285,0.0719741379310344,8.349,116,8766,8757.651,99.90475701574265,13.232945471138489
Shenandoah,4g,tomcat,0.328,0.0874821428571428,4.899,56,185300,185295.101,99.99735617916892,0.30221262817053424
ZGC,12g,avrora,0.025,0.0094444444444444,0.085,9,6215,6214.915,99.99863234111021,1.4481094127111827
ZGC,12g,lusearch,0.11,0.0192121212121212,0.634,33,8782,8781.366,99.99278068777045,3.7576861762696425
ZGC,12g,tomcat,0.024,0.0103333333333333,0.372,36,186146,186145.628,99.99980015686612,0.19339658117821495
ZGC,4g,avrora,0.023,0.0082222222222222,0.074,9,6227,6226.926,99.99881162678658,1.4453187730849526
ZGC,4g,lusearch,0.073,0.0127261904761904,1.069,84,7811,7809.931,99.98631417232107,10.754064780437844
ZGC,4g,tomcat,0.128,0.0124015151515151,1.637,132,185297,185295.363,99.99911655342505,0.7123698710718468
