gc_type,heap_size,benchmark,total_benchmark_time_ms
G1,12g,avrora,7005
G1,12g,lusearch,7720
G1,12g,tomcat,185604
G1,4g,avrora,6195
G1,4g,lusearch,7990
G1,4g,tomcat,184498
Parallel,12g,avrora,6186
Parallel,12g,lusearch,7314
Parallel,12g,tomcat,185030
Parallel,4g,avrora,6135
Parallel,4g,lusearch,7397
Parallel,4g,tomcat,185272
Shenandoah,12g,avrora,6336
Shenandoah,12g,lusearch,8688
Shenandoah,12g,tomcat,185754
Shenandoah,4g,avrora,6347
Shenandoah,4g,lusearch,8766
Shenandoah,4g,tomcat,185300
ZGC,12g,avrora,6215
ZGC,12g,lusearch,8782
ZGC,12g,tomcat,186146
ZGC,4g,avrora,6227
ZGC,4g,lusearch,7811
ZGC,4g,tomcat,185297
