gc_type,heap_size,benchmark,max_pause_ms,avg_pause_ms,total_gc_pause_time_ms,num_stw_pauses
G1,12g,avrora,0,0,0,0
G1,12g,lusearch,0,0,0,0
G1,12g,tomcat,0,0,0,0
G1,4g,avrora,0,0,0,0
G1,4g,lusearch,0,0,0,0
G1,4g,tomcat,0,0,0,0
Parallel,12g,avrora,0,0,0,0
Parallel,12g,lusearch,0,0,0,0
Parallel,12g,tomcat,0,0,0,0
Parallel,4g,avrora,0,0,0,0
Parallel,4g,lusearch,0,0,0,0
Parallel,4g,tomcat,0,0,0,0
Shenandoah,12g,avrora,0.37,0.11616666666666665,1.394,12
Shenandoah,12g,lusearch,0.524,0.18597058823529414,12.646,68
Shenandoah,12g,tomcat,0.439,0.16039285714285714,4.491,28
Shenandoah,4g,avrora,0.199,0.1089,1.089,10
Shenandoah,4g,lusearch,0.409,0.16506896551724137,19.148,116
Shenandoah,4g,tomcat,0.581,0.16901785714285714,9.465,56
ZGC,12g,avrora,0.033,0.011111111111111112,0.1,9
ZGC,12g,lusearch,0.147,0.02087878787878788,0.689,33
ZGC,12g,tomcat,1.085,0.0425,1.53,36
ZGC,4g,avrora,0.039,0.011444444444444445,0.103,9
ZGC,4g,lusearch,0.054,0.015416666666666665,1.295,84
ZGC,4g,tomcat,0.099,0.012189393939393939,1.609,132
